,adm_0_name,adm_1_name,adm_2_name,full_name,ISO_A0,FAO_GAUL_code,RNE_iso_code,IBGE_code,calendar_start_date,calendar_end_date,Year,dengue_total,case_definition_standardised,S_res,T_res,UUID,year,week_number,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2003-04-27,2003-05-03,2003,36,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02,2003,36,28.24285714285714,24.771428571428572,31.571428571428573,9.214285714285714,,160.0,7.942857142857143,,1010.7714285714285,
1,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2003-08-31,2003-09-06,2003,49,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02,2003,49,26.928571428571427,24.8,30.24285714285714,2.9285714285714284,,357.0,6.228571428571429,,1009.5,
2,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2003-12-28,2004-01-03,2003,50,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02,2003,50,25.957142857142856,24.24285714285714,28.771428571428572,10.542857142857143,,348.0,5.083333333333333,,1009.9166666666666,
3,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2004-01-18,2004-01-24,2004,52,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-03,2004,52,27.257142857142856,24.642857142857142,30.785714285714285,0.0,,26.0,9.4,,,
4,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2004-02-22,2004-02-29,2004,53,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-03,2004,53,25.660000000000004,23.66,28.26,7.280000000000001,,,6.32,,,
5,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2004-03-14,2004-03-20,2004,34,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-03,2004,34,28.24285714285714,24.842857142857145,32.05714285714286,6.2,,162.0,9.4,,,
6,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2004-03-21,2004-03-27,2004,41,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-03,2004,41,28.885714285714283,25.87142857142857,32.08571428571428,1.3857142857142857,,144.5,8.971428571428572,,,
7,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2004-03-28,2004-04-03,2004,41,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-03,2004,41,28.885714285714283,25.87142857142857,32.08571428571428,1.3857142857142857,,144.5,8.971428571428572,,,
8,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2004-04-04,2004-04-10,2004,37,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-03,2004,37,28.2,25.342857142857145,32.2,1.45,,112.33333333333333,10.071428571428571,,,
9,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2006-01-15,2006-01-21,2006,46,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-04,2006,46,27.599999999999998,24.914285714285715,31.514285714285712,1.7857142857142858,,,3.9285714285714284,,,
10,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2006-10-29,2006-11-04,2006,46,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-04,2006,46,27.599999999999998,24.914285714285715,31.514285714285712,1.7857142857142858,,,3.9285714285714284,,,
11,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2006-01-29,2006-02-04,2006,39,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-04,2006,39,28.157142857142855,25.32857142857143,31.328571428571426,2.8428571428571425,,146.5,6.757142857142857,,,
12,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2006-11-26,2006-12-02,2006,39,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-04,2006,39,28.157142857142855,25.32857142857143,31.328571428571426,2.8428571428571425,,146.5,6.757142857142857,,,
13,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2006-03-12,2006-03-18,2006,36,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-04,2006,36,28.057142857142857,25.414285714285715,31.400000000000002,1.3142857142857145,,140.0,6.114285714285714,,,
14,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2006-03-19,2006-03-25,2006,44,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-04,2006,44,27.857142857142858,24.8,32.0,5.0,,,3.1285714285714286,,,
15,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2006-11-12,2006-11-18,2006,44,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-04,2006,44,27.857142857142858,24.8,32.0,5.0,,,3.1285714285714286,,,
16,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2006-03-26,2006-04-01,2006,38,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-04,2006,38,28.271428571428572,25.557142857142857,31.5,2.1,,134.5,7.728571428571428,,,
17,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2006-04-02,2006-04-08,2006,38,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-04,2006,38,28.271428571428572,25.557142857142857,31.5,2.1,,134.5,7.728571428571428,,,
18,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2006-04-09,2006-04-15,2006,40,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-04,2006,40,28.82857142857143,25.785714285714285,31.87142857142857,0.6857142857142857,,,8.285714285714286,,,
19,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2006-11-05,2006-11-11,2006,40,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-04,2006,40,28.82857142857143,25.785714285714285,31.87142857142857,0.6857142857142857,,,8.285714285714286,,,
