,adm_0_name,adm_1_name,adm_2_name,full_name,ISO_A0,FAO_GAUL_code,RNE_iso_code,IBGE_code,calendar_start_date,calendar_end_date,Year,dengue_total,case_definition_standardised,S_res,T_res,UUID
0,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2001-12-30,2002-01-05,2001,20,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
2,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2002-01-06,2002-01-12,2002,22,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
3,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2002-01-13,2002-01-19,2002,22,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
4,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2002-01-20,2002-01-26,2002,18,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
5,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2002-01-27,2002-02-02,2002,19,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
6,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2002-02-03,2002-02-09,2002,16,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
7,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2002-02-10,2002-02-16,2002,12,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
8,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2002-02-17,2002-02-23,2002,26,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
9,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2002-02-24,2002-03-02,2002,18,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
10,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2002-03-03,2002-03-09,2002,11,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
11,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2002-03-10,2002-03-16,2002,32,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
12,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2002-03-17,2002-03-23,2002,17,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
13,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2002-03-24,2002-03-30,2002,24,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
