date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2003-01-01,27.1,23,32,1.8,,,3.1,,,
2003-01-02,27.3,25,32,18.3,,,4.9,,,
2003-01-03,26.6,24.2,29.9,2.5,,359,5.5,,,
2003-01-04,25.7,24,29,4.1,,,5.4,,,
2003-01-05,26.6,24.4,31,26.4,,350,9,,,
2003-01-06,26.3,24,28.3,5.3,,1,6.2,,,
2003-01-07,26.3,24.6,29.1,13.2,,,2.5,,,
2003-01-08,25.6,24,,31.5,,,,,,
2003-01-09,27.5,23.8,31,0,,347,10.2,,,
2003-01-10,27.6,24.8,31.4,0,,344,6.7,,,
2003-01-11,24.8,24,28.3,16.8,,336,5.9,,,
2003-01-12,26.7,23.2,31.2,0,,358,6.2,,,
2003-01-13,,,,,,,,,,
2003-01-14,27.2,24.1,30.6,0,,,,,,
2003-01-15,27.8,24.5,32,1.8,,357,11.7,,,
2003-01-16,27.4,24.3,31.2,0,,3,13.3,,,
2003-01-17,27.2,24.5,30.3,2,,356,12.7,,,
2003-01-18,26.9,25,29.7,1.5,,12,15.5,,,
2003-01-19,24.8,24,27,98.3,,,6,,,
2003-01-20,26.4,23.5,31,0.8,,,7.6,,,
2003-01-21,27.1,24.2,30.6,0,,1,9.7,,,
2003-01-22,27.1,24.4,31,11.7,,8,8.9,,,
2003-01-23,27.2,25,31.6,0.3,,,5.9,,,
2003-01-24,27.4,24.7,31,0,,24,10.1,,,
2003-01-25,27.6,24.9,31.7,0,,21,10.8,,,
2003-01-26,27.7,24.5,32.1,0,,11,9.9,,,
2003-01-27,27.6,24.2,31.4,0,,5,12.1,,,
2003-01-28,26.8,24.3,30,0.8,,1,12.1,,,
2003-01-29,26.3,25,28.5,5.1,,7,13.7,,,
2003-01-30,26.4,25,29.2,9.7,,354,8.8,,,
2003-01-31,24.5,23.7,26,194.1,,,5.7,,,
2003-02-01,26.8,23.3,30.4,3.3,,63,10,,,
2003-02-02,26.2,24.5,28,10.7,,,7.5,,,
2003-02-03,25.9,23.8,28.5,16.3,,4,9.7,,,
2003-02-04,26.6,23.7,31,0,,353,10.3,,,
2003-02-05,25.4,23.5,28.3,10.9,,350,10.7,,,
2003-02-06,25.6,23,28.5,1.8,,357,11.8,,,
2003-02-07,26.4,23.4,30.1,2.3,,350,11.4,,,
2003-02-08,27.1,23.6,31,0.3,,1,11.3,,,
2003-02-09,28,24.2,32,0,,,11.4,,,
2003-02-10,27.4,26,30.5,13.2,,,7.4,,,
2003-02-11,28.3,25,32.5,0,,29,10.9,,,
2003-02-12,28.1,26,31.3,0,,25,15.2,,,
2003-02-13,27.8,25.7,31.2,0,,15,14.5,,,
2003-02-14,27.7,25.9,31.3,0,,10,9.2,,,
2003-02-15,26.8,25,30.7,7.6,,20,5.7,,,
2003-02-16,25.3,23.6,27.3,22.4,,,2.6,,,
2003-02-17,26.6,,32,82.3,,,,,,
2003-02-18,27,22.8,30.6,2.8,,,7,,,
2003-02-19,27.1,23.4,30.6,0.5,,,8,,,
2003-02-20,27.6,23.8,31,0,,22,11.1,,,
2003-02-21,27.4,24.7,30.7,0,,,9.4,,,
2003-02-22,27.7,24.6,31.5,0,,11,9.1,,,
2003-02-23,27.4,24.4,31,0,,14,9.6,,,
